순번,금융 상품명,전처리 대출 한도,대출 한도,전처리 이자율,이자율 ,전처리 최대 상환 기간,최대 상환 기간,상환 방법,대출종류명,대상,금융회사 명,지역,전처리 된 연령 시작,전처리 된 연령 끝,연령 제한,수급자여부,전처리 소득 시작 조건,전처리 소득 끝 조건,전처리 신용점수 시작,전처리 신용점수 이하,대출 조건,신청 방법,보증료율,연락처,상품 기간
234,백년가게 소상공인 우대보증,5000,5000,3.5,은행금리,0,-,-,운영·시설,"사업자, 소상공인",충북신용보증재단,충북,0,99,없음,1,0,999999,0,1000,없음,기관 문의,-,· 본점 보증지원부 (043-249-5700) · 충주지점 (043-249-5760)· 남부지점 (043-249-5780) · 제천지점 (043-249-5790)· 혁신도시지점 (043-249-5770) · 동청주지점 (043-279-7950),상시
235,단양군 소상공인지원자금,5000,5000,1.5,은행금리-2.0,0,-,3년 이내 일시상환,운영ㆍ시설,소상공인,충북신용보증재단,충북,0,99,없음,1,0,999999,0,1000,없음,충북신용보증재단 제천지점 방문,,충북신용보증재단 제천지점(043-249-5790),한도 소진 시 까지
236,기초생활보장수급자 생활안정기금 융자금,1000,1000,3,3,5,5,균등분할상환,생계,금융취약계층,충청남도 논산시,충남,0,99,없음,1,0,2800,0,1000,실제소득이 최저생계비의 150% 이하,논산시 읍면동 주민센터 방문,-,041-746-5313,지자체 사업계획에 따라 상시모집
237,창업 및 경쟁력 강화 자금,100000,100000,3.92,22.4분기 3.92%,5,5,균등분할상환,창업,중소기업,충청북도기업진흥원,충북,0,99,없음,1,0,999999,0,1000,없음,"충북기업진흥원(기업지원팀) 방문 및 우편, 온라인 신청 (e-기업사랑센터, ebizcb.chungbuk.go.kr)",-,충북기업진흥원(043-230-9751~6),자금 소진시까지
238,경영안정지원자금,50000,50000,1.7,은행자율금리-1.8%,0,0,만기일시상환,운영·시설,중소기업,충청북도기업진흥원,충북,0,99,없음,1,0,999999,0,1000,없음,"충북기업진흥원(기업지원팀) 방문 및 우편, 온라인 신청 (e-기업사랑센터, ebizcb.chungbuk.go.kr)",-,충북기업진흥원(043-230-9751~6),자금 소진시까지
239,영세기업 일자리안정 특별자금,30000,30000,1.7,은행자율금리-1.8%,0,0,만기일시상환,운영·시설,중소기업,충청북도기업진흥원,충북,0,99,없음,1,0,999999,0,1000,없음,"충북기업진흥원(기업지원팀) 방문 및 우편, 온라인 신청 (e-기업사랑센터, ebizcb.chungbuk.go.kr)",-,충북기업진흥원(043-230-9751~6),자금 소진시까지
240,청년창업지원자금,10000,10000,1.8,1.8,4,4,균등분할상환,"창업, 운영·시설",중소기업,충청북도기업진흥원,충북,20,39,만 20세 이상~39세 이하,1,0,999999,0,1000,없음,"충북기업진흥원(기업지원팀) 방문 및 우편, 온라인 신청 (e-기업사랑센터, ebizcb.chungbuk.go.kr)",-,충북기업진흥원(043-230-9751~6),자금 소진시까지
241,특별경영안정지원자금,30000,30000,1.8,1.8,0,0,만기일시상환,운영·시설,중소기업,충청북도기업진흥원,충북,0,99,없음,1,0,999999,0,1000,없음,"충북기업진흥원(기업지원팀) 방문 및 우편, 온라인 신청 (e-기업사랑센터, ebizcb.chungbuk.go.kr)",-,충북기업진흥원(043-230-9751~6),자금 소진시까지
242,고용창출기업특별지원자금,50000,50000,1.8,은행자율금리-1.8%,0,0,만기일시상환,운영·시설,중소기업,충청북도기업진흥원,충북,0,99,없음,1,0,999999,0,1000,없음,"충북기업진흥원(기업지원팀) 방문 및 우편, 온라인 신청 (e-기업사랑센터, ebizcb.chungbuk.go.kr)",-,충북기업진흥원(043-230-9751~6),자금 소진시까지
243,벤처지식산업지원자금(운전),20000,"(시설) 50,000(운전) 20,000",1.8,1.8,3,시설 3년,- 시설자금 : 2년 거치 3년균분상환 - 운전자금 : 일시상환,운영·시설,중소기업,충청북도기업진흥원,충북,0,99,없음,1,0,999999,0,1000,없음,"충북기업진흥원(기업지원팀) 방문 및 우편, 온라인 신청 (e-기업사랑센터, ebizcb.chungbuk.go.kr)",-,충북기업진흥원(043-230-9751~6),한도 소진 시까지
244,예술인 생활안정자금 융자(긴급생활자금),500,500,2.5,2.5,3,3,원리금균등분할상환,생계,기타,한국예술인복지재단,전국,20,99,만 20세 이상,1,0,2000,0,1000,연소득 2천만원 이하(직전년도 소득금액증명원 기준),온라인신청,대출금리+3.0%,02-3668-0238~9,한도 소진 시까지
245,예술인 생활안정자금 융자(의료비),700,700,2.5,2.5,3,3,원리금균등분할상환,생계,기타,한국예술인복지재단,전국,20,99,만 20세 이상,1,0,999999,0,1000,-,온라인신청,대출금리+3.0%,02-3668-0238~9,한도 소진 시까지
246,예술인 생활안정자금 융자(부모요양비),700,700,2.5,2.5,3,3,원리금균등분할상환,생계,기타,한국예술인복지재단,전국,20,99,만 20세 이상,1,0,999999,0,1000,-,온라인신청,대출금리+3.0%,02-3668-0238~9,한도 소진 시까지
247,예술인 생활안정자금 융자(장례비),700,700,2.5,2.5,3,3,원리금균등분할상환,생계,기타,한국예술인복지재단,전국,20,99,만 20세 이상,1,0,999999,0,1000,-,온라인신청,대출금리+3.0%,02-3668-0238~9,한도 소진 시까지
248,예술인 생활안정자금 융자(결혼자금),700,700,2.5,2.5,3,3,원리금균등분할상환,생계,기타,한국예술인복지재단,전국,20,99,만 20세 이상,1,0,999999,0,1000,-,온라인신청,대출금리+3.0%,02-3668-0238~9,한도 소진 시까지
249,예술인 생활안정자금 융자(전세자금),10000,10000,1.95,1.95,8,2(최장 8년),만기일시상환,주거,기타,한국예술인복지재단,전국,20,99,만 20세 이상,1,0,999999,0,1000,-,온라인신청,대출금리+3.0%,02-3668-0238~9,한도 소진 시까지
250,보금자리론,40000,40000,4.4,4.25~4.55,40,"10, 15, 20, 30, 40","원(리)금균등분할상환, 체증식분할상환",주거,"금융취약계층, 기타",한국주택금융공사,전국,0,99,없음,1,0,7000,0,1000,"부부합산 연소득 7,000만원 이하(미혼이면 본인만, 신혼가구 8,500만원 이하, 다자녀가구 3명기준 최대 1억이하)","주택금융공사 홈페이지에서 온라인 신청, 은행 방문 신청",,한국주택금융공사 1688-8114,기관 문의
251,디딤돌대출,31000,31000,2.57,2.15~3.0,29,"10, 15, 20, 309, 14, 19, 29","원(리)금균등분할상환, 체증식분할상환",주거,"금융취약계층, 기타",한국주택금융공사,전국,0,99,없음,1,0,7000,0,1000,"부부합산 연소득 6,000만원 이하 (생애최초, 신혼, 2자녀 이상의 경우 7,000만원 이하)","주택금융공사 홈페이지에서 온라인 신청, 은행 방문 신청",-,한국주택금융공사 1688-8114,기관 문의
252,기본형 적격대출,50000,50000,3.5,은행별 상이,50,9~50,원(리)금균등분할상환,주거,"금융취약계층, 기타",한국주택금융공사,전국,0,99,없음,1,0,999999,0,1000,없음,취급 금융기관으로 직접 신청,-,한국주택금융공사 1688-8114,기관 문의
253,고정금리형 적격대출,50000,50000,3.5,은행별 상이,50,9~50,원(리)금균등분할상환,주거,"금융취약계층, 기타",한국주택금융공사,전국,0,99,없음,1,0,999999,0,1000,없음,취급 금융기관으로 직접 신청,-,한국주택금융공사 1688-8114,기관 문의
254,채무조정형 적격대출,30000,30000,3.5,은행별 상이,50,10~50,원(리)금균등분할상환만기 일부상환 0% 또는 30%(만기30년은 0%만 가능),주거,"금융취약계층, 기타",한국주택금융공사,전국,0,99,없음,1,0,6000,0,1000,"부부합산 연소득 6,000만원 이하",취급 금융기관으로 직접 신청,-,한국주택금융공사 1688-8114,기관 문의
255,전세자금보증_일반,20000,20000,0,-,0,-,-,주거,"금융취약계층, 기타",한국주택금융공사,전국,0,99,없음,1,0,10000,0,1000,부부합산 연소득 1억원 이하 (1주택자),취급 금융기관으로 직접 신청,-,"부산은행 1588-6200, 하나은행 1599-1111,농협은행 1588-2100, 대구은행 1588-5050, 신한은행 1599-8000, 카카오뱅크 1599-3333, 국민은행 1644-9999, 경남은행 1588-8585, 광주은행 1600-4000, 기업은행 1566-2566, 우리은행 1599-5000, 수협은행 1588-1515, 전북은행 1588-4477, 제주은행 1588-0079, 산업은행 1588-1500, 씨티은행 1588-7000, SC은행 1588-1599, 한국주택금융공사 콜센터 1688-8114 (보증관련)",기관 문의
256,전세자금보증(특례)_청년전용,10000,10000,0,-,0,-,-,주거,"금융취약계층, 기타",한국주택금융공사,전국,0,34,만 34세 이하,1,0,7000,0,1000,"부부합산 연소득 7,000만원 이하",취급 금융기관으로 직접 신청,-,"부산은행 1588-6200, 하나은행 1599-1111,농협은행 1588-2100, 대구은행 1588-5050, 신한은행 1599-8000, 카카오뱅크 1599-3333, 국민은행 1644-9999, 경남은행 1588-8585, 광주은행 1600-4000, 기업은행 1566-2566, 우리은행 1599-5000, 수협은행 1588-1515, 전북은행 1588-4477, 한국주택금융공사 콜센터 1688-8114 (보증관련)",기관 문의
257,전세자금보증(특례)_사회적배려 대상자 전용,4500,4500,0,-,0,-,-,주거,"금융취약계층, 기타",한국주택금융공사,전국,0,99,없음,1,0,10000,0,1000,부부합산 연소득 1억원 이하 (1주택자),취급 금융기관으로 직접 신청,-,한국주택금융공사 1688-8114,기관 문의
258,전세자금보증(특례)_신용회복지원자 전용,4500,4500,0,-,0,-,-,주거,채무조정자,한국주택금융공사,전국,0,99,없음,1,0,10000,0,1000,부부합산 연소득 1억원 이하 (1주택자),취급 금융기관으로 직접 신청,-,한국주택금융공사 1688-8114,기관 문의
259,전세자금보증(특례)_징검다리 전세,15000,15000,0,-,0,-,-,주거,"금융취약계층, 기타",한국주택금융공사,전국,0,99,없음,1,0,7000,0,1000,배우자 합산 연소득 70백만원 이하,취급 금융기관으로 직접 신청,-,"하나은행 1599-1111, 농협은행 1588-2100, 대구은행 1588-5050, 신한은행 1599-8000, 국민은행 1644-9999, 경남은행 1588-8585, 광주은행 1600-4000, 기업은행 1566-2566, 우리은행 1599-5000, 수협은행 1588-1515, 한국주택금융공사 1688-8114 (보증관련)",기관 문의
260,전세자금보증(특례)_정책서민금융 이용자,6000,6000,0,-,0,-,-,주거,"금융취약계층, 기타",한국주택금융공사,전국,0,99,없음,1,0,4500,0,1000,본인 연소득 45백만원 이하,취급 금융기관으로 직접 신청,-,"경남은행 1600-8585, 국민은행 1588-9999, 기업은행 1566-2566, 농협은행 1588-2100, 대구은행 1566-5050, 부산은행 1544-6200, 신한은행 1577-8000, 우리은행 1588-5000, 제주은행 1588-0079, 하나은행 1588-1111, 한국주택금융공사 1688-8114 (보증관련)",기관 문의
261,전세자금보증(특례)_목돈 안드는 전세II,24000,24000,0,-,0,-,-,주거,금융취약계층,한국주택금융공사,전국,0,99,없음,1,0,6000,0,1000,"부부합산 연소득 6,000만원 이하",취급 금융기관으로 직접 신청,-,"국민은행 1588-9999, 신한은행 1577-8000, 우리은행 1588-5000, 농협은행 1588-2100, 하나은행 1588-1111, 한국주택금융공사 1688-8114 (보증관련)",기관 문의
262,전세자금보증(특례)_영세자영업자,20000,20000,0,-,0,-,-,주거,사업자,한국주택금융공사,전국,0,99,없음,1,0,4800,0,1000,부가가치세과세표준증명원 상 직전년도 매출과세표준 48백만원 미만,한국주택금융공사 콜센터 문의,-,한국주택금융공사 1688-8114,기관 문의
263,전세자금보증(특례)_다자녀가구,20000,20000,0,-,0,-,-,주거,"금융취약계층, 기타",한국주택금융공사,전국,0,99,없음,1,0,10000,0,1000,부부합산 연소득 1억원 이하 (1주택자),한국주택금융공사 콜센터 문의,-,한국주택금융공사 1688-8114,기관 문의
264,월세자금보증_일반월세,864,864,0,-,2,2,-,주거,"금융취약계층, 기타",한국주택금융공사,전국,0,99,없음,1,0,999999,0,1000,없음,한국주택금융공사 콜센터 문의,-,한국주택금융공사 1688-8114,기관 문의
265,월세자금보증_청년월세,1200,1200,0,-,5,"3, 5",-,주거,대학생·청년,한국주택금융공사,전국,0,34,만 34세 이하,1,0,7000,0,1000,"부부합산 연소득 7,000만원 이하",한국주택금융공사 콜센터 문의,-,한국주택금융공사 1688-8114,기관 문의
266,귀어창업지원,30000,30000,0,2,10,10,분할상환,창업,귀어업인(희망자포함) 및 재촌비어업인,해양수산부,전국,0,65,만 65세 이하,1,0,999999,0,1000,없음,귀어 지역 주소지 관할 시/군/구 수산관련 부서에 신청 (사업계획서 제출),,"수협은행 1588-1515 (신청 전 대출 자격 여부 사전 상담), 귀어귀촌종합센터 1899-9597(→3번)※ 매주 월/금 9:00~18:00은 수협은행 금융전문가가 귀어귀촌종합센터에 근무하여 보다 편리한 금융상담 가능",기관 문의
267,귀어 주택마련 지원(융자),7500,7500,2,2,10,10,분할상환,주거,귀어업인(희망자포함) 및 재촌비어업인,해양수산부,전국,0,65,만 65세 이하,1,0,999999,0,1000,없음,귀어 지역 주소지 관할 시/군/구 수산관련 부서에 신청 (사업계획서 제출),,"수협은행 1588-1515 (신청 전 대출 자격 여부 사전 상담), 귀어귀촌종합센터 1899-9597(→3번)※ 매주 월/금 9:00~18:00은 수협은행 금융전문가가 귀어귀촌종합센터에 근무하여 보다 편리한 금융상담 가능",기관 문의
268,경상남도 저신용/저소득 특별자금,1000,1000,2.5,이자지원 1년간 연 2.5%,4,"1, 4","만기일시상환, 분할상환","운영·시설, 창업, 생계","사업자, 소상공인",경남신용보증재단,경남,0,99,없음,1,0,999999,0,1000,,경남신용보증재단 홈페이지,,경남신용보증재단 홈페이지,2022.1.25. ~ 2022.12.31.(또는 자금소진시까지)
269,소상공인 정책자금,7000,7000,3.5,자금별 별도 금리 적용,3,3,"균등분할상환, 만기일시상환",운영·시설,"사업자, 소상공인",광주신용보증재단,광주,0,99,없음,1,0,999999,0,1000,,광주신용보증재단 홈페이지에서 보증상담 예약,-,광주신용보증재단 062-950-0000,자금 소진시까지
270,청년창업특례보증,5000,5000,3.35,▶ 1년 : 3.2%~3.5%(연장시 변동금리 적용)▶ 5년 : 금융기관별 상이,4,4,"일시상환, 분할상환",운영·시설,"사업자, 소상공인 등",광주신용보증재단,광주,20,99,있음,1,0,999999,0,1000,,광주신용보증재단 홈페이지에서 보증상담 예약,-,광주신용보증재단 062-950-0000,자금 소진시까지
271,대구 소상공인 일상회복 드림(DREAM) 특별보증,0,-,0,-,4,4,분할상환,운영·시설,"사업자, 소상공인",대구신용보증재단,대구,0,99,없음,1,0,999999,0,1000,,,,죽전지점 : 053-560-6300유통단지지점 : 053-601-5255범어동지점 : 053-744-6500월배지점 : 053-639-4343동지점 : 053-982-7500중앙지점 : 053-256-0300,2022년 1월 3일 ~ 자금소진시까지
272,부산시 3無 플러스 특별자금지원 협약보증,1000,1000,0,-,4,4,매월 원금균등분할상환,운영·시설,"사업자, 소상공인",부산신용보증재단,부산,0,99,없음,1,0,999999,0,1000,,기관 문의,,- 부산은행 : 1588-6200 +9 / 1544-6200 +9- 국민은행 : 1644-0360- 신한은행 : 1599-8000- 하나은행 : 1599-2222 또는 각 지점- 부산신용보증재단 : 051-860-6634,2021.12.13.(월) ~ 자금소진시까지
273,저축은행 출연부 협약보증,10000,10000,0,-,5,"5,4",매월 원금균등분할상환,운영·시설,"사업자, 소상공인",부산신용보증재단,부산,0,99,없음,1,0,999999,0,1000,,기관 문의,,문의전화 : 051.860.6600(콜센터),2021.9.2.(목) ~ 자금소진시까지
274,서울형 성장 유망업종 활성화 보증,40000,40000,3.5,자금에 따라 상이,0,-,-,운영,"사업자, 소상공인",서울신용보증재단,서울,0,99,없음,1,0,999999,0,1000,,사업장 소재 서울신용보증재단 각 지점 방문,,서울신용보증재단 1577-6119,자금 소진시까지
275,태양광 발전시설 설치지원 특별보증,40000,40000,3.5,서울시 기후변화기금 금리에 따름,0,-,-,운영,"사업자, 소상공인",서울신용보증재단,서울,0,99,없음,1,0,999999,0,1000,,사업장 소재 서울신용보증재단 각 지점 방문,,서울신용보증재단 1577-6119,자금 소진시까지
276,충청북도 충북희망자금,1500,1500,3,2~4,5,5,원리금균등분할상환,"운영·시설, 생계, 저금리전환, 학자금",채무조정자,신용회복위원회,충청북도,0,99,없음,1,0,999999,0,1000,,신용회복위원회 전국 지부 또는 서민금융통합지원센터 방문,-,"상담센터 1600-5500, 사이버지부 상담(cyber.ccrs.or.kr)",상시
277,경상남도 경남희망론,1500,1500,3,2~4,5,5,원리금균등분할상환,"운영·시설, 생계, 저금리전환, 학자금",채무조정자,신용회복위원회,전국,0,99,없음,1,0,999999,0,1000,,신용회복위원회 전국 지부 또는 서민금융통합지원센터 방문,-,"상담센터 1600-5500, 사이버지부 상담(cyber.ccrs.or.kr)",상시
278,재창업 특례보증,5000,5000,1.7,(일시)CD금리 + 1.5%(분할) CD금리 + 1.7%,4,4,일시상환(최대 5년까지 1년단위 연장)또는 원금균등분할상환,운전자금,"사업자, 소기업, 소상공인",신용보증재단중앙회,전국,0,99,없음,1,0,999999,0,1000,,은행 및 지역신보 영업점 방문,,신용보증재단중앙회 1588-7365,한도 소진 시까지
279,한국장학재단 저금리 전환대출,0,"전환대출 신청기준, 소요액 전액",2.9,2.9,10,10,원금균등분할상환 또는 원리금균등분할상환,학자금,09.2학기~12년 일반 상환학자금 대출자,한국장학재단,전국,0,99,없음,1,0,999999,0,1000,없음,재단 홈페이지 인터넷 신청,대출금리 + 연체가산금리(연2.0%),한국장학재단 콜센터 1599-2000,22.7.6.(수) ~ ’24.12.27.(금)(학기별 운영)
280,최저신용자 특례보증,1000,1000,15.9,15.9,5,"3, 5",원리금균등분할상환,생계,"근로자, 사업자, 연금소득자 등",서민금융진흥원,전국,20,99,민법상 성년(만19세이상),1,0,4500,0,1000,"연 4,500만원 이하",서금원 앱 및 서민금융통합지원센터 방문(1397 서민금융콜센터 예약 필수),,"서민금융콜센터 (국번없이)1397, 각 협약은행 콜센터",상시
281,서구청 특별출연에 의한 서구 소상공인 경영안정 특례보증,3000,3000,2,CD3개월물 + 2.0%이내,2,2,-,운영,소상공인,대전신용보증재단,대전,0,99,없음,1,0,999999,0,1000,0,대전신용보증재단,-,대전신용보증재단 042-380-3800,2022.9.30~2022.12.31. (또는 자금 소진시 까지)
282,지하도상가 활성화 지원 특례보증,3000,3000,2,연 2% 대,4,4,원금균등분할상환,운영,"소상공인, 소기업",인천신용보증재단,인천,0,99,없음,1,0,999999,0,1000,없음,"대표자 본인(사업자등록증, 신분증 지참)이 사업장이 소재한 인천신용보증재단 지점에 내방하여 보증상담 신청",,인천신용보증재단 각 지점☎ 1577-3790,자금소진시 까지
283,유망예비창업자 사전보증,5000,5000,3.5,은행별로 상이,4,4,"만기일시상환, 균등분할상환",운영,"소기업, 예비창업자",인천신용보증재단,인천,0,99,없음,1,0,999999,0,1000,없음,예비창업자 본인(신분증 지참)이 인천신용보증재단 소상공인디딤돌센터 내방하여 보증상담 신청,,"인천신용보증재단 소상공인디딤돌센터 - 주소 : 인천 남동구 남동대로 215번길 30, 10층 (인천종합비즈니스센터) - 전화 : 032-728-1563, 1565, 1566",기관 문의
284,고금리 대환 및 저금리 운영자금(신용UP) 특례보증 - 대환자금(Track 1),2000,2000,3.5,은행별로 상이,0,-,-,저금리전환,소상공인,경기신용보증재단,경기,0,99,없음,1,0,999999,0,1000,없음,[재단 대면보증] 재단 홈페이지 또는 콜센터(1577-5900)를 통한 예약 상담 신청,,경기신용보증재단 콜센터 1577-5900,기관 문의
285,고금리 대환 및 저금리 운영자금(신용UP) 특례보증 - 저금리 운영자금(Track 2),2000,2000,3.5,은행별로 상이,0,-,-,운영,소상공인,경기신용보증재단,경기,0,99,없음,1,0,999999,0,1000,없음,[대면보증] 재단 홈페이지 또는 콜센터(1577-5900)를 통한 예약 상담 신청[비대면보증] 대출을 희망하는 각 은행 모바일 앱을 통해 신청,,경기신용보증재단 콜센터 1577-5900,기관 문의
286,고금리 대환 및 저금리 운영자금(신용UP) 특례보증 - 저금리 운영자금(Track 3),10000,10000,3.5,은행별로 상이,0,-,-,운영,중소기업,경기신용보증재단,경기,0,99,없음,1,0,999999,0,1000,없음,[재단 대면보증] 재단 홈페이지 또는 콜센터(1577-5900)를 통한 예약 상담 신청,,경기신용보증재단 콜센터 1577-5900,기관 문의
287,경상남도 소공인 특별자금 보증,10000,10000,3.5,은행별로 상이,4,"1, 4","만기일시상환, 분할상환",운영,소상공인,경남신용보증재단,경남,0,99,없음,1,0,999999,0,1000,없음,,,경남신용보증재단,2022. 01. 25. ~ 2022. 12. 30 (또는 한도소진 시 까지)
288,경상남도 예술인 창작자금,5000,5000,3.5,은행별로 상이,4,"1, 4","만기일시상환, 분할상환",운영,사업자,경남신용보증재단,경남,0,99,없음,1,0,999999,0,1000,없음,자금신청 및 접수 (보증상담 예약시스템)경남신용보증재단 홈페이지,,경남신용보증재단 홈페이지,2022.5.23. ~ 2022.12.31.(또는 자금소진시까지)
289,고성군 소상공인 육성자금,3000,3000,3.5,은행별로 상이,4,"1, 4","만기일시상환, 분할상환",운영,소상공인,경남신용보증재단,경남,0,99,없음,1,0,999999,0,1000,없음,"자금 신청 및 접수(보증상담 예약시스템)- 경남신용보증재단 통영지점, 마산지점, 사천지점,진주지점",,경남신용보증재단,시행기간(보증신청서 접수일 기준)- 2022.01.20. ~ 2022.12.31.(또는 자금소진시까지)
290,2022년 북구 소상공인 경영안정자금 지원 특례보증(Ⅱ),3000,3000,0,-,3,"0, 3","만기일시상환, 분할상환",운영,소상공인,대구신용보증재단,대구,0,99,없음,1,0,999999,0,1000,없음,,,유통단지지점 : 053-601-5255,2022년 7월 13일 ~ 자금소진시
291,다시뛰자! 대구 소상공인 특별보증,20000,20000,0,-,0,-,-,운영,"중소기업, 소상공인",대구신용보증재단,대구,0,99,없음,1,0,999999,0,1000,없음,,,- 죽전지점 : 053-560-6300 - 유통단지지점 : 053-601-5255 - 범어동지점 : 053-744-6500 - 월배지점 : 053-639-4343 - 동지점 : 053-982-7500 - 중앙지점 : 053-256-0300,2022년 7월 22일 ~ 자금소진시
292,전북은행 특별출연 협약보증,10000,10000,0,-,0,-,-,운영,"중소기업, 소상공인",대전신용보증재단,대전,0,99,없음,1,0,999999,0,1000,없음,,,대전신용보증재단 042-380-3800,한도소진 시
293,온통대전몰.배달플랫폼 활성화 지원 특화보증,5000,5000,1.7,CD금리(91일)+1.7%(또는 2.5%)이내,0,-,-,운영,소상공인,대전신용보증재단,대전,0,99,없음,1,0,999999,0,1000,없음,,,대전신용보증재단 042-380-3800,2021.12.01. ~ 2022.12.31.
294,ESG 실천 소기업. 소상공인 지원 특례보증,5000,5000,0,-,0,-,일시상환,운영,"소기업, 소상공인",대전신용보증재단,대전,0,99,없음,1,0,999999,0,1000,없음,,,대전신용보증재단 042-380-3800,2022.09.20.~한도(200억원)소진시까지
295,대전광역시 소상공인 경영개선자금,5000,5000,0,-,0,-,만기일시상환,운영,소상공인,대전신용보증재단,대전,0,99,없음,1,0,999999,0,1000,없음,온라인 신청 : 대전신용보증재단 홈페이지(www.sinbo.or.kr),,대전신용보증재단 홈페이지(www.sinbo.or.kr),한도 소진시까지
296,준재해 재난 특례보증(Track5. 환율피해기업),20000,20000,0,,4,4,원금균등분할상환,운영,"중소기업, 소상공인",부산신용보증재단,부산,0,99,없음,1,0,999999,0,1000,없음,부산신용보증재단 각 지점 문의,,문의전화 : 051-860-6600,- 2022. 10. 24 ~ 2023. 6. 30. (또는 자금 소진시 또는 환율안정 시 까지)
297,부산시 소상공인 동백피움 협약보증,10000,10000,3.5,은행별로 상이,5,"3, 5","만기일시상환, 원금균등분할상환",운영,소상공인,부산신용보증재단,부산,0,99,없음,1,0,999999,0,1000,없음,부산신용보증재단 각 지점 문의,,문의전화 : 051.860.6600(콜센터),2022. 5. 10. ~ 2022. 12. 31.
298,부산시 소상공인 임차사업자 지원 협약보증,0,,0,,5,"3, 5","만기일시상환, 원금균등분할상환",운영·시설,소상공인,부산신용보증재단,부산,0,99,없음,1,0,999999,0,1000,없음,부산신용보증재단 각 지점 문의,,문의전화 : 051.860.6600(콜센터),- 농협은행 : 2022. 6. 7. ~ 2022. 12. 31.(또는 자금 소진 시까지)- 하나은행 : 2022. 6. 27. ~ 2022. 12. 31.(또는 자금 소진 시까지)
299,부산 디지털기업 지원 협약보증,0,,0,,5,"4, 5",원금균등분할상환,운영·시설,"소기업, 소상공인",부산신용보증재단,부산,0,99,없음,1,0,999999,0,1000,없음,부산신용보증재단 각 지점 문의,,문의전화 : 051-860-6600,2022. 9. 19 ~ 2022. 12. 31. (또는 자금 소진시 까지)
300,저축은행 출연부 협약보증,10000,10000,0,,5,"4, 5",원금균등분할상환,운영·시설,"중소기업, 소상공인",부산신용보증재단,부산,0,99,없음,1,0,999999,0,1000,없음,부산신용보증재단 각 지점 문의,,문의전화 : 051.860.6600(콜센터),2021.9.2.(목) ~ 자금소진시까지
301,서울시 중소기업 육성자금 지원(운전_포용금융자금),3000,3000,0,,4,4,균등분할상환,운영,"중소기업, 소상공인",서울신용보증재단,서울,0,99,없음,1,0,999999,0,1000,없음,사업장 소재 서울신용보증재단 각 지점 방문,,서울신용보증재단 1577-6119,자금 소진시까지
302,서울시 중소기업 육성자금 지원(운전_재기지원자금),10000,10000,0,,4,"3, 4",균등분할상환,운영,소상공인,서울신용보증재단,서울,0,99,없음,1,0,999999,0,1000,없음,사업장 소재 서울신용보증재단 각 지점 방문,,서울신용보증재단 1577-6119,자금 소진시까지
303,서울시 중소기업 육성자금 지원(운전_4무 안심 창업·재창업 기업자금),7000,7000,0,,4,4,균등분할상환,운영,"중소기업, 소상공인",서울신용보증재단,서울,0,99,없음,1,0,999999,0,1000,없음,사업장 소재 서울신용보증재단 각 지점 방문,,서울신용보증재단 1577-6119,자금 소진시까지
304,지식재산(IP) 보증(개발자금보증),10000,10000,0.02,0.02,4,4,균등분할상환,운영,"중소기업, 소상공인",서울신용보증재단,서울,0,99,없음,1,0,999999,0,1000,없음,사업장 소재 서울신용보증재단 각 지점 방문,,서울신용보증재단 고객센터 1577-6119,자금 소진시까지
305,지식재산(IP) 보증(사업화자금보증),20000,20000,0.02,0.02,4,4,균등분할상환,운영,"중소기업, 소상공인",서울신용보증재단,서울,0,99,없음,1,0,999999,0,1000,없음,사업장 소재 서울신용보증재단 각 지점 방문,,서울신용보증재단 고객센터 1577-6119,자금 소진시까지
306,지식재산(IP) 보증(지식재산 우대보증),20000,20000,0.02,0.02,4,4,균등분할상환,운영,"중소기업, 소상공인",서울신용보증재단,서울,0,99,없음,1,0,999999,0,1000,없음,사업장 소재 서울신용보증재단 각 지점 방문,,서울신용보증재단 고객센터 1577-6119,자금 소진시까지
307,전북 기술창업 활성화 특례보증,9000,9000,0,-,8,"6 ,7, 8",원금균등분할상환,창업,"중소기업, 벤처기업",전북신용보증재단,전북,0,99,없음,1,0,999999,0,1000,없음,전북신용보증재단 각 지점 문의,,전북신용보증재단 사업장주소지 관할 영업점,자금 소진시까지
308,갑질 피해기업지원 특례보증,0,-,0,-,0,0,일시상환,운영,소기업,전북신용보증재단,전북,0,99,없음,1,0,999999,0,1000,없음,전북신용보증재단 각 지점 문의,,전북신용보증재단 사업장주소지 관할 영업점,자금 소진시까지
309,(전라북도 소상공인 민생회복 금융지원사업 Track 1) 민생회복 응급구조 119,0,-,3.5,은행별로 상이,8,"2, 3, 4, 5, 7, 8",원금균등분할상환,운영,"소기업, 소상공인",전북신용보증재단,전북,0,99,없음,1,0,999999,0,1000,없음,전북신용보증재단 각 지점 문의,,전북신용보증재단 사업장주소지 관할 영업점,자금 소진시까지
310,(전라북도 소상공인 민생회복 금융지원사업 Track 2) 소기업육성 4無 안심자금 지원_Track1(“예비창업자 지원부문”),9900,9900,3.5,은행별로 상이,8,"7, 8",원금균등분할상환,창업,소상공인,전북신용보증재단,전북,0,99,없음,1,0,999999,0,1000,없음,전북신용보증재단 각 지점 문의,,전북신용보증재단 사업장주소지 관할 영업점,자금 소진시까지
